Date,Category,Description,Amount
2025-01-05,Food,Grocery shopping,3200
2025-01-10,Transport,Ola cab,850
2025-01-15,Housing,Rent payment,9000
2025-01-18,Entertainment,Netflix subscription,499
2025-01-22,Health,Pharmacy,350
2025-01-28,Food,Swiggy order,620
2025-02-03,Food,Grocery shopping,3400
2025-02-08,Transport,Bus pass,600
2025-02-14,Entertainment,Movie tickets,700
2025-02-17,Housing,Rent payment,9000
2025-02-21,Health,Doctor visit,800
2025-02-25,Other,Stationery,400
2025-03-02,Food,Grocery shopping,3800
2025-03-09,Transport,Uber,1100
2025-03-14,Housing,Rent payment,9000
2025-03-19,Entertainment,Zomato,950
2025-03-23,Health,Gym membership,1200
2025-03-28,Food,Restaurant,750
2025-04-04,Food,Grocery shopping,4100
2025-04-10,Transport,Fuel,1400
2025-04-16,Housing,Rent payment,9000
2025-04-20,Entertainment,OTT subscriptions,799
2025-04-25,Health,Pharmacy,450
2025-04-29,Other,Misc purchases,600
